epoch,train_loss,train_ce_loss,train_sim_loss,train_qed_loss,val_loss,validity,dQED,SimSrc,SimTgt,positive_dqed_rate,sim30_rate,sim40_rate,opt30_rate,opt40_rate,score,valid_count,invalid_count
1,1.8039417977596184,1.7810711196192315,0.002868593831741307,0.006667360843145134,1.1861919775023382,1.0,-0.3555084886400635,0.14714859519591825,0.13935388408333665,0.13303341902313626,0.033419023136246784,0.003213367609254499,0.008354755784061696,0.0019280205655526992,-0.5296603715339773,1556,0
2,1.4830239696509326,1.4696774814399403,0.0025036499884115273,0.0036142783987155682,1.0422981368627133,1.0,-0.3639421133386198,0.14223182102923365,0.13436055043603798,0.13560411311053985,0.02570694087403599,0.004498714652956298,0.012210796915167094,0.0012853470437017994,-0.5770078171654015,1556,0
3,1.3876665606815644,1.3754210637481517,0.0024632632753068162,0.0032607447227387277,0.9651390628300566,1.0,-0.3151371870363108,0.153956744553933,0.14281622858217602,0.2377892030848329,0.05398457583547558,0.015424164524421594,0.02634961439588689,0.007712082262210797,-0.03537502561375627,1556,0
4,1.3324351154889824,1.3208675100495404,0.00244814368810478,0.003039821434361076,0.9298331437370448,1.0,-0.3484517914625708,0.16643655517313655,0.1496079162945763,0.2120822622107969,0.09575835475578406,0.032133676092544985,0.04755784061696658,0.017994858611825194,-0.2499688284086684,1556,0
5,1.264443287096147,1.2531571392740317,0.0024044608416829384,0.0029605621864297934,0.8815818368986398,1.0,-0.2183785429309546,0.1957423910653275,0.171310112560178,0.30077120822622105,0.14460154241645246,0.05077120822622108,0.09125964010282776,0.036632390745501286,1.0188846311642394,1556,0
6,1.2105095263529908,1.1998647281499455,0.002424268282019028,0.002740175509531196,0.8599369652405552,1.0,-0.11471040974155379,0.19706561654659743,0.17173641834224582,0.40295629820051415,0.15359897172236503,0.07326478149100257,0.10861182519280206,0.055912596401028275,1.9736262863674958,1556,0
7,1.1819606776472418,1.1718155981134466,0.002388418689893069,0.002585553621277138,0.828343409605571,1.0,-0.16517988767680342,0.22148401659474448,0.1871763909282229,0.38431876606683807,0.19794344473007713,0.10218508997429306,0.13560411311053985,0.07455012853470437,1.6728566921960522,1556,0
8,1.1614806665332469,1.151573221635512,0.002401727777427779,0.0025019052288981956,0.8276412285091135,1.0,-0.16375016109315432,0.22758620312704186,0.18698788369064906,0.36568123393316193,0.2275064267352185,0.12467866323907455,0.14652956298200515,0.08547557840616966,1.703391680947547,1556,0
9,1.1204562906635418,1.1110728646100132,0.002393878513755614,0.0023298495026736086,0.8169102002308025,1.0,-0.34361125654080743,0.19702362319204464,0.16247976730480887,0.2095115681233933,0.16902313624678664,0.09383033419023136,0.09190231362467867,0.060411311053984576,-0.02952399899220537,1556,0
10,1.0920060052162004,1.0825940571996748,0.002374351646032444,0.0023458641876339136,0.7915266483515019,1.0,-0.127335107840227,0.2364730738059311,0.19563112339932023,0.4158097686375321,0.2538560411311054,0.13239074550128535,0.16195372750642673,0.08740359897172237,2.0885062457141816,1556,0
11,1.0728403285209147,1.0639624176723403,0.002363767096426508,0.00217138047325703,0.7982221794108567,1.0,-0.1309836636935349,0.2331390551331746,0.18708842757015096,0.4106683804627249,0.2442159383033419,0.13946015424164523,0.16066838046272494,0.10347043701799485,2.049965902945895,1556,0
12,1.0569916615451762,1.0482848995225102,0.0023611659021308923,0.0021151981657402,0.7801042980071365,1.0,-0.13806655274634336,0.22819574070410772,0.18835454735350604,0.38946015424164526,0.2332904884318766,0.12789203084832904,0.15359897172236503,0.09061696658097686,1.9525732099144832,1556,0
13,1.0187316793215753,1.0103249990996495,0.0023656303134530934,0.002013683436605772,0.7842356334456161,1.0,-0.10373612795554232,0.2646644774924905,0.20956604952369515,0.442159383033419,0.32519280205655526,0.1928020565552699,0.230719794344473,0.14331619537275064,2.497403070113518,1556,0
14,0.9937821755106435,0.9856468351727833,0.0023369827041077257,0.0019327871559219703,0.7739994406009497,1.0,-0.05603102790269759,0.2580181990366674,0.20760770072321771,0.5083547557840618,0.29048843187660667,0.16966580976863754,0.21401028277634962,0.12467866323907455,2.8838350620049105,1556,0
15,0.9833251348552132,0.9751371334391826,0.002364412684301406,0.0019411976396848402,0.7828864042908773,1.0,-0.11140351034054377,0.24648920921734996,0.20526044713761443,0.44601542416452444,0.2795629820051414,0.15552699228791775,0.19601542416452442,0.11311053984575835,2.3329527821954446,1556,0
16,0.9564837544687321,0.9485452358113698,0.002331029908704893,0.0018691637930526974,0.7744282978583605,1.0,-0.018294556037765048,0.2630689885724821,0.21612150999171653,0.5514138817480719,0.31683804627249357,0.17159383033419023,0.2320051413881748,0.12275064267352186,3.2587551684659735,1556,0
17,0.9242237579760555,0.9165199533020756,0.00233728115139925,0.0017888407657335695,0.7757289997805676,1.0,-0.08052743742493201,0.2516161926716638,0.2027695610287687,0.4640102827763496,0.29048843187660667,0.15938303341902313,0.20179948586118251,0.11889460154241645,2.6151199375049585,1556,0
18,0.9309660592520885,0.9234326107565127,0.002325863483710397,0.0017358612759224093,0.7731086908876653,1.0,-0.011584336731407576,0.2542560336736037,0.2121540977788385,0.5578406169665809,0.29884318766066836,0.16323907455012854,0.22879177377892032,0.12917737789203085,3.297534257518846,1556,0
19,0.8959176661189407,0.888757167066194,0.002312522943543311,0.0016159917853296583,0.7803357971911604,1.0,-0.04384067422016444,0.2597407558293498,0.21345335242264363,0.531491002570694,0.3097686375321337,0.17930591259640102,0.2365038560411311,0.14460154241645246,3.05082097412087,1556,0
20,0.8799127215758946,0.8728178718539409,0.0023082132625385347,0.0015955453762702956,0.7911959870019043,1.0,-0.040581159081361264,0.2476041382198339,0.20557256184521078,0.5102827763496144,0.2898457583547558,0.15552699228791775,0.20565552699228792,0.11375321336760925,2.963907792398132,1556,0
21,0.8527757224446308,0.8457017722690913,0.00232319434049757,0.0015835848652447154,0.8007151616878727,1.0,-0.020046782158798897,0.2565264624434782,0.21039746086851405,0.5404884318766067,0.3026992287917738,0.16709511568123395,0.22879177377892032,0.12660668380462725,3.2111593172271964,1556,0
22,0.8434451768019323,0.836522024545782,0.0022991217839436803,0.001541343031406966,0.7913284464522712,1.0,-0.026554733887246218,0.2615173391352188,0.21351037069107667,0.5430591259640103,0.3245501285347044,0.17223650385604114,0.2352185089974293,0.13174807197943444,3.1879494577247613,1556,0
23,0.8219361818487363,0.8149757575151126,0.002294113361641185,0.0015554368247526083,0.8075870897370393,1.0,-0.05291314906286337,0.2588682291007109,0.2125377407221059,0.5122107969151671,0.32519280205655526,0.17994858611825193,0.2384318766066838,0.14203084832904883,2.9549631565966066,1556,0
24,0.7822336921697077,0.7755211006616614,0.002282754535219103,0.0014766128112143836,0.8016476904203884,1.0,-0.006418867445882365,0.2648032939474334,0.21859030684716035,0.5713367609254498,0.32904884318766064,0.17544987146529564,0.2532133676092545,0.13174807197943444,3.4028403245459033,1556,0
25,0.7671354606587589,0.7603941605710416,0.002295574608059291,0.001481908529553161,0.8129337257640931,1.0,-0.0588128294805716,0.24601913067652578,0.207130382114639,0.5096401028277635,0.2917737789203085,0.14074550128534705,0.2249357326478149,0.11503856041131105,2.835745072238937,1556,0
26,0.7383181003938155,0.7317783141951936,0.0022901223018778963,0.0014165549960887818,0.8150230077919225,1.0,0.010771521860379923,0.2768796860708992,0.23031853200904873,0.6169665809768637,0.38817480719794345,0.20051413881748073,0.31683804627249357,0.16645244215938304,3.7141863515114917,1556,0
